_id,month,town,Type,block,street_name,Storey,Area (sqm),Model,lease_commence_date,Lease left,Sale price (S$),z_town_flat,z_block,mo_change,cooling_strength,latitude,longitude,dist_cbd_km,mrt_dist_m,hawker_dist_m,popular_school_dist_m,park_dist_m,hospital_dist_m,columbarium_dist_m,temple_dist_m,coast_dist_m,year,remaining_lease_years,remaining_lease_sq,flat_model_grouped,num_eights_tail,price_has_168,block_has_4,cny_month,storey_low,storey_high,storey_mid,month_factor,Predicted price (S$),price_residual,z_residual,price_shock_score,outlier_jump_score,market_defier_raw,market_defier_score,unexplainable_score,wtf_score,Bucket,Location,lat,lng
238684,2026-08-01,TOA PAYOH,EXECUTIVE,101A,LOR 2 TOA PAYOH,07 TO 09,147.0,Apartment,1993,65 years 08 months,1350000.0,2.7555568446531007,2.5307666111737936,0.007936507936507908,0.0,1.33974126719163,103.847264187382,6.2151745988459535,69.49865848943044,286.9737579237295,1377.981527227277,1886.8819564779808,1072.87548501714,2536.0510496420425,666.3697177351062,6345.108523211439,2026,66,4356,Apartment,0,0,0,0,7.0,9.0,8.0,2026-08,1149674.1490097968,200325.8509902032,2.5696963508415145,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,101A LOR 2 TOA PAYOH,1.33974126719163,103.847264187382
233726,2026-08-01,QUEENSTOWN,3 ROOM,50,STIRLING RD,01 TO 03,102.4,Terrace,1968,40 years 11 months,1040888.0,3.957591940044102,1.0840081407581332,0.007936507936507908,0.0,1.29714090600198,103.803791249661,5.490515345434571,270.9525261754813,106.98598881994543,2074.964795744022,1813.3329963027252,1172.509804128069,3784.855397198067,210.50049449952147,3703.829960779783,2026,41,1681,Terrace,3,0,0,0,1.0,3.0,2.0,2026-08,828145.4590899555,212742.54091004445,4.0764736794606895,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,50 STIRLING RD,1.29714090600198,103.803791249661
241356,2026-09-01,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,10 TO 12,151.0,Multi Generation,1987,60 years 04 months,1212000.0,2.4299137655397685,2.015956766395095,0.020472440944881987,0.0,1.41899847213282,103.840568002498,15.059362676028234,831.3313598822425,812.0309978505156,4612.560299858565,416.3110388433804,606.8678301033004,1933.0172199006736,387.3487786080253,670.3197333902676,2026,60,3600,Multi Generation,0,0,0,0,10.0,12.0,11.0,2026-09,1001148.8462438392,210851.15375616075,2.781238520130274,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,666 YISHUN AVE 4,1.41899847213282,103.840568002498
233840,2026-09-01,QUEENSTOWN,4 ROOM,94,DAWSON RD,19 TO 21,91.0,Premium Apartment,2021,94 years 02 months,1388000.0,3.2832829869919284,2.830345842539741,0.020472440944881987,0.0,1.29627483410181,103.811206437575,4.6720067720408105,579.080171392116,733.3876801422884,2745.161398743787,1099.1403914144616,1513.012444823061,3175.0253264643434,435.3091130562482,3612.3864888495063,2026,94,8836,Premium Apartment,1,0,1,0,19.0,21.0,20.0,2026-09,1036900.4443130407,351099.5556869593,3.678442656961154,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,94 DAWSON RD,1.29627483410181,103.811206437575
235900,2026-09-01,SENGKANG,5 ROOM,279B,SENGKANG EAST AVE,10 TO 12,112.0,Premium Apartment,2015,88 years,1180000.0,4.64775889562465,2.209677214609604,0.020472440944881987,0.0,1.38541559450444,103.892986078183,12.187687288792848,191.5452167444857,204.50863982290372,781.8590527557475,1001.9956453381567,998.4475794005023,6860.363200960478,647.4468612681745,2960.311126312339,2026,88,7744,Premium Apartment,0,0,0,0,10.0,12.0,11.0,2026-09,837497.6200652868,342502.37993471324,4.0945589162749005,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,279B SENGKANG EAST AVE,1.38541559450444,103.892986078183
223658,2026-09-01,BEDOK,5 ROOM,152C,BEDOK STH RD,10 TO 12,113.0,Improved,2022,94 years 08 months,1458888.0,5.525593230954589,0.7071067811865476,0.020472440944881987,0.0,1.318717037520852,103.9470124230528,11.30819746308729,341.1862067235666,894.4973882860991,1892.369906140053,2181.7855939947353,212.03512944775807,3654.8563658547464,196.99667451675907,2262.727002251882,2026,95,9025,Improved,4,0,0,0,10.0,12.0,11.0,2026-09,991478.8938882656,467409.1061117344,4.668032220679347,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,152C BEDOK STH RD,1.318717037520852,103.9470124230528
227851,2026-09-01,CLEMENTI,5 ROOM,445B,CLEMENTI AVE 3,16 TO 18,113.0,Improved,2021,93 years 10 months,1580000.0,3.111978711540997,1.4423830998555713,0.020472440944881987,0.0,1.31266626044778,103.764623618127,10.15960780228191,186.0745938483019,73.6153030513944,825.8031244377254,3316.1587468151265,1261.0349005623102,3245.454031735662,476.01567761374383,1786.1897440768787,2026,94,8836,Improved,0,0,1,0,16.0,18.0,17.0,2026-09,1095267.1790403132,484732.82095968677,6.24838741885722,0.9865285863556565,1.0,0.0,0.0,1.0,84.6,ALAMAK!,445B CLEMENTI AVE 3,1.31266626044778,103.764623618127
237936,2026-09-01,TAMPINES,MULTI-GENERATION,454,TAMPINES ST 42,10 TO 12,166.0,Multi Generation,1987,59 years 11 months,1388000.0,2.917630602468487,2.6313705902519797,0.020472440944881987,0.0,1.3572982230676,103.955006394373,14.109585106287513,85.30112762692971,1678.4470193106545,2185.7694963488543,862.6243401404345,1860.4201605932324,6008.206319579804,621.1528643486998,3700.2858405522543,2026,60,3600,Multi Generation,1,0,1,0,10.0,12.0,11.0,2026-09,1151644.7275787257,236355.27242127433,3.1415872398793265,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,454 TAMPINES ST 42,1.3572982230676,103.955006394373
226682,2026-09-01,CENTRAL AREA,5 ROOM,1C,CANTONMENT RD,19 TO 21,107.0,Type S2,2011,83 years 04 months,1720000.0,2.4027572566189357,2.394133100790839,0.020472440944881987,0.0,1.27744909387079,103.841666679651,1.3043717932531962,288.44273994382957,190.86094188106304,1975.3816958217255,1045.7278966176134,476.4209271486749,1569.1552464634337,95.64927167265753,2106.691292779431,2026,84,7056,Type S2,0,0,0,0,19.0,21.0,20.0,2026-09,1253780.2383157841,466219.76168421586,3.1031282393412267,1.0,1.0,0.0,0.0,1.0,85.0,ALAMAK!,1C CANTONMENT RD,1.27744909387079,103.841666679651
